candidate,chemical_valid,contact_precision,dockq,dockq_fnat,dockq_irmsd_A,dockq_lrmsd_A,dockq_status,e3_anchor_local_rmsd_A,e3_ca_rmsd_A,e3_head_local_rmsd_A,e3_ligand_clashes_2A,e3_ligand_contacts_5A,e3_ligand_vdw_clashes,errors,joint_success,ligand_rmsd_A,ligand_success,ligand_symmetry_rmsd_A,native_contact_recall,no_ppi_fallback_success,pb_checks,pb_mol_fast_valid,poi_anchor_local_rmsd_A,poi_head_local_rmsd_A,poi_ligand_clashes_2A,poi_ligand_contacts_5A,poi_ligand_vdw_clashes,ppi_clashes_2A,ppi_contacts_5A,ppi_success,ppi_vdw_clashes,rank,seed,stereo_valid,steric_valid
s44_c15,True,0.0,0.015852257695311157,0.0,11.813065553731084,46.986247119299236,assessed,0.2771240517528993,51.182776465798206,,5,8,15,[],,11.107009866011646,False,11.092131744941543,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.043470632994302566,,2,18,9,15,21,False,29,1,44,True,False
s43_c22,True,0.5,0.07395397898104095,0.06666666666666667,7.696281422912284,23.172017901016112,assessed,0.03087031046457269,18.654474267808066,,0,10,0,[],,7.841619281483949,False,7.822993626682423,0.06666666666666667,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04333498742754082,,24,20,40,0,2,False,0,2,43,True,False
s44_c13,True,0.0,0.019138051658654523,0.0,11.255599679680865,41.66086966993615,assessed,0.028988070086737174,36.82860300301533,,0,10,0,[],,6.636959040346779,False,6.608025430741372,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04389185993580476,,4,16,6,20,29,False,39,3,44,True,False
s42_c23,True,0.14285714285714285,0.09259776646001434,0.13333333333333333,6.270219627153079,26.97417668382615,assessed,0.2892083875230207,31.188083142114845,,2,11,5,[],,6.800349802389257,False,6.763758445591698,0.13333333333333333,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.043571822377053426,,17,18,30,6,14,False,10,4,42,True,False
s44_c5,True,0.0,0.020399208246825853,0.0,12.678427371213038,38.10809305190865,assessed,0.30325341492988017,37.402586592109344,,14,9,26,[],,7.6482020342464825,False,7.638818846506705,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.0430254709690758,,19,20,32,0,5,False,0,5,44,True,False
s42_c11,True,0.0,0.041198040714583176,0.0,11.920058273539228,24.427366724090383,assessed,0.30030165333306247,26.780979458333267,,1,8,6,[],,7.821415942576888,False,7.798692234864578,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04414620339572868,,19,18,38,14,15,False,26,6,42,True,False
s42_c22,True,0.08,0.09943313409346959,0.13333333333333333,5.654841700931104,25.60984513101224,assessed,0.03714088615762037,37.86051667425876,,1,10,4,[],,8.051529198977377,False,7.993843169646839,0.13333333333333333,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04357233885581665,,40,23,89,3,25,False,6,7,42,True,False
s43_c30,True,0.25,0.21960279511585537,0.4666666666666667,4.885120455609431,24.687389347169056,assessed,0.033540159433114065,26.127871191941068,,1,9,3,[],,7.820163744065025,False,7.782141001695369,0.4666666666666667,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.044914259729750376,,56,22,91,19,28,False,37,8,43,True,False
s43_c23,True,0.0,0.04797184637254498,0.0,9.28204936137101,23.18696330059287,assessed,0.3029040021171339,44.00188511945544,,2,10,4,[],,10.67022613259268,False,10.637748701326034,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04332908037893171,,46,23,88,29,43,False,66,9,43,True,False
s42_c15,True,0.01639344262295082,0.05091804411825344,0.06666666666666667,12.8131125673894,30.386984738498615,assessed,0.3102080528340406,46.997584471269924,,15,12,33,[],,10.697055541886442,False,10.668874697355788,0.06666666666666667,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04369205545492092,,41,21,72,41,61,False,74,10,42,True,False
s43_c28,True,0.0,0.023012774457682874,0.0,10.13435639325108,38.02088871401619,assessed,0.06443778745880906,60.62721833190896,,1,12,8,[],,13.104356341365317,False,13.08631044893559,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04330650800252955,,55,28,108,58,108,False,135,11,43,True,False
s42_c16,True,0.0,0.015567736319011613,0.0,11.852809642924706,47.56995879840179,assessed,0.04157926193211739,49.55217178218957,,5,10,13,[],,8.308886412545048,False,8.28940434724155,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04431725385054859,,32,20,57,81,82,False,140,12,42,True,False
s44_c8,True,0.01098901098901099,0.06662740515725461,0.06666666666666667,6.43816079694596,28.491745948684716,assessed,0.28785372487201627,26.264258570050213,,5,13,15,[],,8.160665161357516,False,8.160665161357516,0.06666666666666667,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04323268457991544,,11,20,31,105,91,False,204,13,44,True,False
s43_c5,True,0.0,0.04457579238288645,0.0,11.088500824560631,23.492621180481695,assessed,0.31076165089519125,30.789437276853274,,5,10,17,[],,11.8618291778934,False,11.84911977379748,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04369749882592286,,76,26,150,55,73,False,113,14,43,True,False
s42_c8,True,0.0,0.013009938932146069,0.0,13.467448826704116,51.244727707550034,assessed,0.3055948008094305,43.796870977313546,,44,16,84,[],,7.088960529481453,False,7.050601867871979,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04423495543840471,,13,17,22,82,113,False,154,15,42,True,False
s42_c0,True,0.024793388429752067,0.17078398962749367,0.2,5.835977516922567,14.707401428460148,assessed,0.04498556492113464,21.366570811530842,,30,15,55,[],,10.930222997804846,False,10.92409296161005,0.2,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.04329163439479757,,52,29,109,103,121,False,207,16,42,True,False
s44_c27,True,0.008130081300813009,0.051946481022716505,0.06666666666666667,7.257691985439205,37.768907904302424,assessed,0.3168280598810664,48.45224094157821,,15,13,34,[],,9.035379004791116,False,8.999223444844805,0.06666666666666667,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.0435994695033526,,65,24,145,105,123,False,187,17,44,True,False
