candidate,chemical_valid,contact_precision,dockq,dockq_fnat,dockq_irmsd_A,dockq_lrmsd_A,dockq_status,e3_anchor_local_rmsd_A,e3_ca_rmsd_A,e3_head_local_rmsd_A,e3_ligand_clashes_2A,e3_ligand_contacts_5A,e3_ligand_vdw_clashes,errors,joint_success,ligand_rmsd_A,ligand_success,ligand_symmetry_rmsd_A,native_contact_recall,no_ppi_fallback_success,pb_checks,pb_mol_fast_valid,poi_anchor_local_rmsd_A,poi_head_local_rmsd_A,poi_ligand_clashes_2A,poi_ligand_contacts_5A,poi_ligand_vdw_clashes,ppi_clashes_2A,ppi_contacts_5A,ppi_success,ppi_vdw_clashes,rank,seed,stereo_valid,steric_valid
s44_c30,True,0.0,0.06362487440161624,0.0,7.7137864288447675,19.889009409069438,assessed,0.35214948335873975,48.88472784731019,,23,14,50,[],,10.588280063691169,False,10.570056323028405,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.017724966928102884,,0,15,2,45,75,False,90,1,44,True,False
s43_c14,True,0.0,0.04547568316323402,0.0,12.056332668026554,22.890006432949995,assessed,0.35420427389648595,43.88804633593551,,24,18,53,[],,11.544224686013477,False,11.544224686013477,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.01677503744406289,,16,17,32,75,72,False,136,2,43,True,False
s42_c15,True,0.008403361344537815,0.04182749295296012,0.024390243902439025,11.512988412663908,27.99616955880842,assessed,0.019725785917535436,48.57555175006637,,13,16,22,[],,7.023315497558738,False,6.99663505045567,0.024390243902439025,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.01734824484473457,,21,17,38,96,119,False,170,3,42,True,False
s43_c25,True,0.02666666666666667,0.07599293762536383,0.0975609756097561,10.90890423176963,23.950707545865708,assessed,0.017077119684678947,31.960041665976426,,52,21,101,[],,11.704072659513585,False,11.688205643124679,0.0975609756097561,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.019408392739356926,,34,21,60,71,150,False,135,4,43,True,False
s44_c2,True,0.07339449541284404,0.1287913306317657,0.1951219512195122,5.736590322226387,22.25989302341496,assessed,0.35261496649025215,23.17147355945775,,21,21,48,[],,6.452545196856825,False,6.452545196856825,0.1951219512195122,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.03641455916427893,,32,24,70,110,109,False,195,5,44,True,False
s44_c8,True,0.09523809523809523,0.2087637039992025,0.34146341463414637,4.904026109248181,17.038630629155076,assessed,0.017464587312852716,14.735412519008177,,1,19,5,[],,6.627008726423924,False,6.597630302622951,0.34146341463414637,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.016836640921544015,,10,19,18,165,147,False,322,6,44,True,False
s43_c4,True,0.0,0.04730251992901031,0.0,9.388769221905209,23.349023617967447,assessed,0.35932637845650545,62.479557224387094,,5,18,13,[],,15.89814953541044,False,15.885919409700731,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.015304632773342191,,54,30,96,160,155,False,299,7,43,True,False
s44_c25,True,0.01015228426395939,0.0594694504818575,0.04878048780487805,9.652839756173595,24.67861996739941,assessed,0.025782992598460678,40.16833659142641,,41,18,72,[],,8.654307145961905,False,8.63169726892611,0.04878048780487805,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.014733745262617809,,16,21,33,172,197,False,334,8,44,True,False
s43_c8,True,0.0,0.08435718415594774,0.0,9.248462891023934,15.665743876001684,assessed,0.03178075901930302,40.40045167321413,,48,22,103,[],,11.598362727940133,False,11.598362727940133,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.017121149452173783,,40,19,77,146,184,False,296,9,43,True,False
s42_c12,True,0.0,0.022738128771071953,0.0,11.869253927470263,36.112176905666345,assessed,0.3532872871816914,64.07932990267935,,28,22,71,[],,14.911100238387231,False,14.911100238387231,0.0,,"{""mol_pred_loaded"": true, ""sanitization"": true, ""inchi_convertible"": true, ""all_atoms_connected"": true, ""no_radicals"": true, ""bond_lengths"": true, ""bond_angles"": true, ""internal_steric_clash"": true, ""aromatic_ring_flatness"": true, ""non-aromatic_ring_non-flatness"": true, ""double_bond_flatness"": true}",True,0.01734730305399848,,31,25,69,205,252,False,411,10,42,True,False
